seed,noise_rate,lambda,p_over_n,D,train_mse,test_mse,train_acc,test_acc,solution_norm,regularized_condition_number,effective_degrees_of_freedom,min_singular_value,max_singular_value
42,0.0,0.0,0.8,800,0.004298618857118984,0.14784327906899977,100.0,64.84,49.03108159840289,33805.75650770866,799.9999999912804,0.06845865852221115,12.587042954342536
42,0.0,1e-06,0.8,800,0.004298618870681629,0.14782884289668438,100.0,64.84,49.02831524039352,33798.54496880383,799.9912809576349,0.06845865852221115,12.587042954342536
42,0.0,0.0001,0.8,800,0.0042987516659993615,0.1464222962029769,100.0,65.05,48.75801261687488,33099.51739359206,799.133611240356,0.06845865852221115,12.587042954342536
42,0.0,0.01,0.8,800,0.004694261999572668,0.08950832391949758,100.0,74.75,36.110893577393156,10788.32272857875,741.2333215355661,0.06845865852221115,12.587042954342536
42,0.0,0.1,0.8,800,0.007671837245268513,0.04485764988846429,100.0,85.6,20.854426195698963,1514.3644804387593,566.4044810231911,0.06845865852221115,12.587042954342536
42,0.0,0.0,0.9,900,0.0019074635867084844,0.262864013965691,100.0,52.68000000000001,71.49698336335891,169008.6870392284,899.9999999755755,0.0307857090884341,12.656210088546652
42,0.0,1e-06,0.9,900,0.00190746372496033,0.2627326902646961,100.0,52.68000000000001,71.47763841468878,168830.55185363733,899.9755832139758,0.0307857090884341,12.656210088546652
42,0.0,0.0001,0.9,900,0.0019087036146841943,0.25075815128568996,100.0,53.580000000000005,69.69119618924499,152878.30374077611,897.6296940330639,0.0307857090884341,12.656210088546652
42,0.0,0.01,0.9,900,0.0027331604622162567,0.09202131334811911,100.0,74.18,38.91011989995091,14632.185533992957,802.396092336582,0.0307857090884341,12.656210088546652
42,0.0,0.1,0.9,900,0.006166300873893481,0.04319944861322685,100.0,86.19,21.351096345299524,1587.7484947609091,597.3850620914911,0.0307857090884341,12.656210088546652
42,0.0,0.0,0.95,950,0.0008739581436267384,0.47246938016993656,100.0,41.58,100.78443429152965,666222.8137411844,949.9999999413251,0.015309134634451719,12.495694346561354
42,0.0,1e-06,0.95,950,0.0008739594301828059,0.4713345800017412,100.0,41.6,100.65652350258209,663392.2819379957,949.9414021190419,0.015309134634451719,12.495694346561354
42,0.0,0.0001,0.95,950,0.0008822051080534529,0.3908269971970207,100.0,44.68,91.13832394361224,466975.69301252364,944.7592499637582,0.015309134634451719,12.495694346561354
42,0.0,0.01,0.95,950,0.001987039842991991,0.09050815206363659,100.0,74.69,39.44211621493939,15257.644902037739,825.9607338160888,0.015309134634451719,12.495694346561354
42,0.0,0.1,0.95,950,0.005506249601521998,0.042730516422119016,100.0,86.13,21.42358979162163,1558.7704878188847,609.6560319513136,0.015309134634451719,12.495694346561354
42,0.0,0.0,0.98,980,0.00032392827436718497,1.4268090849093664,100.0,27.37,179.98513148248,4344037.257439967,979.9999998273702,0.005945346984517711,12.391502903895528
42,0.0,1e-06,0.98,980,0.0003239602227542146,1.3985653965297136,100.0,27.55,178.18476038946963,4224522.197199546,979.8290963763523,0.005945346984517711,12.391502903895528
42,0.0,0.0001,0.98,980,0.000380096811905053,0.6260619768331412,100.0,38.11,118.22335875035684,1134485.9743842334,969.4124918972341,0.005945346984517711,12.391502903895528
42,0.0,0.01,0.98,980,0.00174663739931112,0.09059010681229804,100.0,73.74000000000001,39.91521008439703,15301.846753305916,837.8964258673323,0.005945346984517711,12.391502903895528
42,0.0,0.1,0.98,980,0.005335821794845256,0.04206025353969937,100.0,86.53999999999999,21.647194596589813,1535.9505274238884,615.3587940080552,0.005945346984517711,12.391502903895528
42,0.0,0.0,1.0,1000,3.51398521651685e-28,47.533613371254326,100.0,13.120000000000001,1049.2752823904568,1041013733.1675506,999.9999912835452,0.00038801913477644047,12.519379793877471
42,0.0,1e-06,1.0,1000,1.4801377821293846e-05,7.286500523897402,100.0,16.55,413.1940305263785,136224993.24221593,997.7458615046934,0.00038801913477644047,12.519379793877471
42,0.0,0.0001,1.0,1000,0.00014522824020453631,0.6097629223638352,100.0,39.72,118.21727957722851,1564993.4680817467,981.664528586901,0.00038801913477644047,12.519379793877471
42,0.0,0.01,1.0,1000,0.00150651715823389,0.08862331004165491,100.0,76.3,40.29620145668834,15674.251052615082,845.9093806948242,0.00038801913477644047,12.519379793877471
42,0.0,0.1,1.0,1000,0.0051946931398787295,0.041134241971419766,100.0,86.76,21.5311434287065,1568.3463429492733,620.8926013274082,0.00038801913477644047,12.519379793877471
42,0.0,0.0,1.02,1020,7.162714684479067e-30,1.0687128745627585,100.0,29.86,158.96274534235965,5271730.484225656,999.9999997879115,0.005482661649244596,12.588328044832538
42,0.0,1e-06,1.02,1020,1.8933321588969518e-08,1.0526957899235714,100.0,30.020000000000003,157.75715005697592,5102001.066669331,999.7903856079961,0.005482661649244596,12.588328044832538
42,0.0,0.0001,1.02,1020,4.069140120626328e-05,0.5507190229595628,100.0,38.379999999999995,113.45302630557616,1218411.627002248,987.8592419027725,0.005482661649244596,12.588328044832538
42,0.0,0.01,1.02,1020,0.001397037327283757,0.08538961762542836,100.0,75.71,39.98773394677765,15800.105843828693,851.9790632732365,0.005482661649244596,12.588328044832538
42,0.0,0.1,1.02,1020,0.004986652124376245,0.041042393070669515,100.0,86.99,21.725906287788348,1585.183530151436,624.0601745917742,0.005482661649244596,12.588328044832538
42,0.0,0.0,1.05,1050,4.416415897452508e-30,0.520908877733694,100.0,42.32,108.76825719308145,830372.8352968182,999.9999999237555,0.013931776475543728,12.695302854070624
42,0.0,1e-06,1.05,1050,1.951344273880796e-09,0.5192548027319398,100.0,42.4,108.58840770740115,826116.5828213382,999.9238912106399,0.013931776475543728,12.695302854070624
42,0.0,0.0001,1.05,1050,1.1561196282073694e-05,0.40840215303415106,100.0,46.150000000000006,95.8038211946074,548024.0932085831,993.4205350216002,0.013931776475543728,12.695302854070624
42,0.0,0.01,1.05,1050,0.0011422915683877851,0.0866753600523619,100.0,75.63,40.14666393813629,15811.185211659584,863.0650400487826,0.013931776475543728,12.695302854070624
42,0.0,0.1,1.05,1050,0.004805671509433682,0.040895847613042026,100.0,87.09,21.85012696159573,1609.583035099433,632.1055058055554,0.013931776475543728,12.695302854070624
42,0.0,0.0,1.1,1100,5.147472521227472e-30,0.23785064268294284,100.0,52.32,75.00209539079697,275730.577110043,999.999999960173,0.02417206530071579,12.69276455322312
42,0.0,1e-06,1.1,1100,2.1078121115539444e-10,0.23768731597922088,100.0,52.32,74.97397445583637,275259.47749354347,999.9601943931544,0.02417206530071579,12.69276455322312
42,0.0,0.0001,1.1,1100,1.795763732171541e-06,0.2233624750810163,100.0,53.54,72.46516985394825,235436.24551118247,996.2131782094964,0.02417206530071579,12.69276455322312
42,0.0,0.01,1.1,1100,0.0008491843899679892,0.08021256394208211,100.0,75.47,39.37930297847148,15222.210575278184,875.5132732914499,0.02417206530071579,12.69276455322312
42,0.0,0.1,1.1,1100,0.004366826840516877,0.03976769583466597,100.0,86.94,21.79891793987253,1602.6983341186922,640.7006452597893,0.02417206530071579,12.69276455322312
42,0.0,0.0,1.2,1200,6.252956528719886e-30,0.12824155431747228,100.0,68.02,55.60070465686692,107674.95828333507,999.9999999779794,0.03857613041814926,12.658318460171119
42,0.0,1e-06,1.2,1200,3.5093873463716454e-11,0.1282164824575458,100.0,68.04,55.5943916421878,107602.65114426323,999.97798388204,0.03857613041814926,12.658318460171119
42,0.0,0.0001,1.2,1200,3.324578048543177e-07,0.1258354573107741,100.0,68.52000000000001,54.99118675915692,100894.98549872014,997.8406589132327,0.03857613041814926,12.658318460171119
42,0.0,0.01,1.2,1200,0.0005042789954003675,0.06909260107127789,100.0,80.01,37.60459745191835,13948.588315183506,895.2323955269255,0.03857613041814926,12.658318460171119
42,0.0,0.1,1.2,1200,0.0037153084251623225,0.03724377028022346,100.0,87.96000000000001,21.810432834455508,1579.820669203657,656.1950847327654,0.03857613041814926,12.658318460171119
42,0.0,0.0,1.5,1500,1.8496529090097882e-30,0.06646267163426546,100.0,80.5,40.59414091586929,43150.44860714955,999.999999988979,0.061719290846775035,12.820754526615277
42,0.0,1e-06,1.5,1500,4.871834590234099e-12,0.06645991257198007,100.0,80.5,40.59294071211562,43139.124108967306,999.9889796429849,0.061719290846775035,12.820754526615277
42,0.0,0.0001,1.5,1500,4.7876074156252924e-08,0.06619035104790978,100.0,80.55,40.475508958329016,42046.67632602808,998.9054177798114,0.061719290846775035,12.820754526615277
42,0.0,0.01,1.5,1500,0.00019469006487085033,0.05269173781150377,100.0,84.24000000000001,34.06676044624884,11903.723829227105,925.2832635597745,0.061719290846775035,12.820754526615277
42,0.0,0.1,1.5,1500,0.002774732502046839,0.034275797998619933,100.0,89.07000000000001,21.900213092974152,1584.3647225821685,690.2634107469328,0.061719290846775035,12.820754526615277
